Car Name,Year,KM,Type,CC,Transmission
Suzuki Wagon R  2019 Hybrid FZ,2019,"24,000 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"65,098 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"36,936 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2018 Hybrid FZ,2018,"79,000 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2017 VXL,2017,"67,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXR,2018,"64,255 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXR,2018,"16,680 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXL,2021,"15,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022 AGS,2022,40 km,Petrol,1000 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"17,583 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"57,878 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"64,085 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2016 VXL,2016,"100,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXR,2021,"47,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"77,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022 VXR,2022,"4,500 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"75,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022 VXR,2022,"5,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2012 FX Limited,2012,"78,000 km",Petrol,660 cc,Automatic
Suzuki Wagon R  2019 VXL,2019,"45,900 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXL,2018,"66,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"73,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXR,2021,"26,500 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022,2022,"23,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2020 VXL,2020,"28,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2013 FX,2013,"92,000 km",Petrol,660 cc,Automatic
Suzuki Wagon R  2021 VXR,2021,"23,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXL,2018,"46,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"71,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2019 VXR,2019,"36,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXL,2021,"12,300 km",Petrol,1000 cc,Manual
Car Name,Year,KM,Type,CC,Transmission
Suzuki Wagon R  2019 Hybrid FZ,2019,"24,000 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"65,098 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"36,936 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2018 Hybrid FZ,2018,"79,000 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2017 VXL,2017,"67,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXR,2018,"64,255 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXR,2018,"16,680 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXL,2021,"15,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022 AGS,2022,40 km,Petrol,1000 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"17,583 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"57,878 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2019 Hybrid FZ,2019,"64,085 km",Hybrid,660 cc,Automatic
Suzuki Wagon R  2018,2018,"80,000 km",Petrol,660 cc,Manual
Suzuki Wagon R  2016 VXL,2016,"100,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXR,2021,"47,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"77,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022 VXR,2022,"4,500 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"75,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022 VXR,2022,"5,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2012 FX Limited,2012,"78,000 km",Petrol,660 cc,Automatic
Suzuki Wagon R  2019 VXL,2019,"45,900 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXL,2018,"66,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"73,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2021 VXR,2021,"26,500 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2022,2022,"23,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2020 VXL,2020,"28,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2013 FX,2013,"92,000 km",Petrol,660 cc,Automatic
Suzuki Wagon R  2021 VXR,2021,"23,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2018 VXL,2018,"46,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2017 VXL,2017,"71,000 km",Petrol,1000 cc,Manual
Suzuki Wagon R  2019 VXR,2019,"36,000 km",Petrol,1000 cc,Manual
