Car Name,Year,KM,Type,CC,Transmission,Prices
Suzuki Wagon R  2019 Hybrid FZ,2019,"24,000 km",Hybrid,660 cc,Automatic,PKR 33lacs
Suzuki Wagon R  2019 Hybrid FZ,2019,"65,098 km",Hybrid,660 cc,Automatic,PKR 39.5lacs
Suzuki Wagon R  2019 Hybrid FZ,2019,"36,936 km",Hybrid,660 cc,Automatic,PKR 38.95lacs
Suzuki Wagon R  2018 Hybrid FZ,2018,"79,000 km",Hybrid,660 cc,Automatic,PKR 35.75lacs
Suzuki Wagon R  2017 VXL,2017,"67,000 km",Petrol,1000 cc,Manual,PKR 19.9lacs
Suzuki Wagon R  2018 VXR,2018,"64,255 km",Petrol,1000 cc,Manual,PKR 21.9lacs
Suzuki Wagon R  2018 VXR,2018,"16,680 km",Petrol,1000 cc,Manual,PKR 21lacs
Suzuki Wagon R  2021 VXL,2021,"15,000 km",Petrol,1000 cc,Manual,PKR 28.75lacs
Suzuki Wagon R  2022 AGS,2022,40 km,Petrol,1000 cc,Automatic,PKR 34.85lacs
Suzuki Wagon R  2019 Hybrid FZ,2019,"17,583 km",Hybrid,660 cc,Automatic,PKR 38.95lacs
Suzuki Wagon R  2019 Hybrid FZ,2019,"57,878 km",Hybrid,660 cc,Automatic,PKR 39.95lacs
Suzuki Wagon R  2019 Hybrid FZ,2019,"64,085 km",Hybrid,660 cc,Automatic,PKR 39.5lacs
Suzuki Wagon R  2016 VXL,2016,"100,000 km",Petrol,1000 cc,Manual,PKR 18.5lacs
Suzuki Wagon R  2021 VXR,2021,"47,000 km",Petrol,1000 cc,Manual,PKR 25lacs
Suzuki Wagon R  2017 VXL,2017,"77,000 km",Petrol,1000 cc,Manual,PKR 18.9lacs
Suzuki Wagon R  2022 VXR,2022,"4,500 km",Petrol,1000 cc,Manual,PKR 27.5lacs
Suzuki Wagon R  2017 VXL,2017,"75,000 km",Petrol,1000 cc,Manual,PKR 22.5lacs
Suzuki Wagon R  2022 VXR,2022,"5,000 km",Petrol,1000 cc,Manual,PKR 24lacs
Suzuki Wagon R  2012 FX Limited,2012,"78,000 km",Petrol,660 cc,Automatic,PKR 18.25lacs
Suzuki Wagon R  2019 VXL,2019,"45,900 km",Petrol,1000 cc,Manual,PKR 24.25lacs
Suzuki Wagon R  2018 VXL,2018,"66,000 km",Petrol,1000 cc,Manual,PKR 23.95lacs
Suzuki Wagon R  2017 VXL,2017,"73,000 km",Petrol,1000 cc,Manual,PKR 22.25lacs
Suzuki Wagon R  2021 VXR,2021,"26,500 km",Petrol,1000 cc,Manual,PKR 25.75lacs
Suzuki Wagon R  2022,2022,"23,000 km",Petrol,1000 cc,Manual,PKR 32.5lacs
Suzuki Wagon R  2020 VXL,2020,"28,000 km",Petrol,1000 cc,Manual,PKR 27lacs
Suzuki Wagon R  2013 FX,2013,"92,000 km",Petrol,660 cc,Automatic,PKR 18lacs
Suzuki Wagon R  2021 VXR,2021,"23,000 km",Petrol,1000 cc,Manual,PKR 25.9lacs
Suzuki Wagon R  2018 VXL,2018,"46,000 km",Petrol,1000 cc,Manual,PKR 23lacs
Suzuki Wagon R  2017 VXL,2017,"71,000 km",Petrol,1000 cc,Manual,PKR 19.25lacs
Suzuki Wagon R  2019 VXR,2019,"36,000 km",Petrol,1000 cc,Manual,PKR 23lacs
Suzuki Wagon R  2021 VXL,2021,"12,300 km",Petrol,1000 cc,Manual,PKR 28.6lacs
